"Statistic Label","Age Group","Sex","Regional Authority Area","Year","UNIT","VALUE"
"Estimated Population (Persons in April)","40 - 44 years","Female","Dublin","2004","Thousand","40.5"
"Estimated Population (Persons in April)","40 - 44 years","Female","Dublin","2005","Thousand","40.9"
"Estimated Population (Persons in April)","40 - 44 years","Female","Dublin","2006","Thousand","40.9"
"Estimated Population (Persons in April)","40 - 44 years","Female","Dublin","2007","Thousand","41.6"
"Estimated Population (Persons in April)","40 - 44 years","Female","Dublin","2008","Thousand","41.9"
"Estimated Population (Persons in April)","40 - 44 years","Female","Dublin","2009","Thousand","41.8"
"Estimated Population (Persons in April)","40 - 44 years","Female","Dublin","2010","Thousand","42.2"
"Estimated Population (Persons in April)","40 - 44 years","Female","Dublin","2011","Thousand","43.9"
"Estimated Population (Persons in April)","40 - 44 years","Female","Dublin","2012","Thousand","44.8"
"Estimated Population (Persons in April)","40 - 44 years","Female","Dublin","2013","Thousand","46"
"Estimated Population (Persons in April)","40 - 44 years","Female","Dublin","2014","Thousand","47.9"
"Estimated Population (Persons in April)","40 - 44 years","Female","Dublin","2015","Thousand","49.3"
"Estimated Population (Persons in April)","40 - 44 years","Female","Dublin","2016","Thousand","50.1"
"Estimated Population (Persons in April)","40 - 44 years","Female","Dublin","2017","Thousand","52"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","1996","Thousand","35.8"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","1997","Thousand","13.2"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","1998","Thousand","13.6"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","1999","Thousand","14"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2000","Thousand","14.5"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2001","Thousand","14.8"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2002","Thousand","15.3"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2003","Thousand","16"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2004","Thousand","16.6"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2005","Thousand","17.3"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2006","Thousand","18"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2007","Thousand","18.8"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2008","Thousand","19.5"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2009","Thousand","19.8"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2010","Thousand","20.3"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2011","Thousand","20.8"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2012","Thousand","21.5"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2013","Thousand","21.9"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2014","Thousand","22.6"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2015","Thousand","23.5"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2016","Thousand","23.7"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-East","2017","Thousand","24.1"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","1996","Thousand","6.7"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","1997","Thousand","10.7"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","1998","Thousand","10.6"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","1999","Thousand","10.8"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2000","Thousand","10.9"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2001","Thousand","11.2"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2002","Thousand","11.5"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2003","Thousand","11.7"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2004","Thousand","11.9"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2005","Thousand","12.2"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2006","Thousand","12.5"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2007","Thousand","12.6"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2008","Thousand","13.2"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2009","Thousand","13.2"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2010","Thousand","13.3"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2011","Thousand","13.4"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2012","Thousand","13.7"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2013","Thousand","13.9"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2014","Thousand","14.3"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2015","Thousand","14.5"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2016","Thousand","14.3"
"Estimated Population (Persons in April)","40 - 44 years","Female","Mid-West","2017","Thousand","14.4"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","1996","Thousand","10.4"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","1997","Thousand","13.1"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","1998","Thousand","13.5"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","1999","Thousand","14"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2000","Thousand","14.2"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2001","Thousand","14.7"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2002","Thousand","15"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2003","Thousand","15.4"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2004","Thousand","15.8"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2005","Thousand","16.2"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2006","Thousand","16.7"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2007","Thousand","17.4"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2008","Thousand","17.6"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2009","Thousand","17.6"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2010","Thousand","17.7"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2011","Thousand","17.9"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2012","Thousand","17.9"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2013","Thousand","18.3"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2014","Thousand","18.7"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2015","Thousand","19"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2016","Thousand","19"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-East","2017","Thousand","19.2"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","1996","Thousand","12.6"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","1997","Thousand","18.4"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","1998","Thousand","18.8"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","1999","Thousand","19.3"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2000","Thousand","19.4"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2001","Thousand","19.9"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2002","Thousand","20.3"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2003","Thousand","20.9"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2004","Thousand","21.4"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2005","Thousand","21.9"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2006","Thousand","22.2"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2007","Thousand","22.2"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2008","Thousand","22.5"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2009","Thousand","22.6"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2010","Thousand","23.2"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2011","Thousand","23.5"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2012","Thousand","24.1"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2013","Thousand","24.7"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2014","Thousand","25.2"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2015","Thousand","25.5"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2016","Thousand","25.5"
"Estimated Population (Persons in April)","40 - 44 years","Female","South-West","2017","Thousand","26"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","1996","Thousand","225.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","1997","Thousand","228.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","1998","Thousand","232.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","1999","Thousand","234.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2000","Thousand","239.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2001","Thousand","243.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2002","Thousand","249.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2003","Thousand","253.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2004","Thousand","259.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2005","Thousand","265.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2006","Thousand","273.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2007","Thousand","281.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2008","Thousand","288.5"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2009","Thousand","295.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2010","Thousand","300.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2011","Thousand","304.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2012","Thousand","307.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2013","Thousand","310.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2014","Thousand","312.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2015","Thousand","317"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2016","Thousand","324.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","State","2017","Thousand","333.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","1996","Thousand","25.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","1997","Thousand","25.5"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","1998","Thousand","26"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","1999","Thousand","26.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2000","Thousand","26.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2001","Thousand","26.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2002","Thousand","27.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2003","Thousand","28"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2004","Thousand","28.5"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2005","Thousand","29.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2006","Thousand","30.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2007","Thousand","31.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2008","Thousand","32.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2009","Thousand","33"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2010","Thousand","33.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2011","Thousand","34.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2012","Thousand","34.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2013","Thousand","35"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2014","Thousand","35.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2015","Thousand","35.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2016","Thousand","36.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Border","2017","Thousand","37.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","1996","Thousand","12.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","1997","Thousand","12.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","1998","Thousand","13"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","1999","Thousand","13.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2000","Thousand","13.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2001","Thousand","14.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2002","Thousand","14.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2003","Thousand","14.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2004","Thousand","15.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2005","Thousand","15.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2006","Thousand","16.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2007","Thousand","17.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2008","Thousand","17.5"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2009","Thousand","18"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2010","Thousand","18.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2011","Thousand","18.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2012","Thousand","19"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2013","Thousand","19.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2014","Thousand","19.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2015","Thousand","20.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2016","Thousand","20.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Midland","2017","Thousand","20.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","1996","Thousand","21.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","1997","Thousand","22.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","1998","Thousand","22.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","1999","Thousand","23"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2000","Thousand","23.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2001","Thousand","24.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2002","Thousand","25.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2003","Thousand","25.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2004","Thousand","26.5"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2005","Thousand","26.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2006","Thousand","27.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2007","Thousand","27.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2008","Thousand","27.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2009","Thousand","28.5"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2010","Thousand","29"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2011","Thousand","29.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2012","Thousand","29.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2013","Thousand","30.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2014","Thousand","30.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2015","Thousand","30.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2016","Thousand","30.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","West","2017","Thousand","31.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","1996","Thousand","63.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","1997","Thousand","64.5"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","1998","Thousand","65.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","1999","Thousand","65.5"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2000","Thousand","66.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2001","Thousand","67.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2002","Thousand","67.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2003","Thousand","68.5"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2004","Thousand","69.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2005","Thousand","71.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2006","Thousand","73"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2007","Thousand","75.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2008","Thousand","77.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2009","Thousand","78.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2010","Thousand","79.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2011","Thousand","79.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2012","Thousand","79.5"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2013","Thousand","79.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2014","Thousand","80.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2015","Thousand","82.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2016","Thousand","85.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Dublin","2017","Thousand","88.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","1996","Thousand","23.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","1997","Thousand","24"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","1998","Thousand","24.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","1999","Thousand","24.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2000","Thousand","25.5"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2001","Thousand","26.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2002","Thousand","27.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2003","Thousand","28.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2004","Thousand","28.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2005","Thousand","29.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2006","Thousand","31.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2007","Thousand","32.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2008","Thousand","33.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2009","Thousand","35.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2010","Thousand","36.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2011","Thousand","37.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2012","Thousand","38.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2013","Thousand","38.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2014","Thousand","39.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2015","Thousand","40.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2016","Thousand","41.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-East","2017","Thousand","42.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","1996","Thousand","20.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","1997","Thousand","20.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","1998","Thousand","21.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","1999","Thousand","21.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2000","Thousand","21.5"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2001","Thousand","21.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2002","Thousand","22.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2003","Thousand","22.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2004","Thousand","22.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2005","Thousand","23.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2006","Thousand","23.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2007","Thousand","24"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2008","Thousand","24.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2009","Thousand","24.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2010","Thousand","25"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2011","Thousand","25.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2012","Thousand","25.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2013","Thousand","26.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2014","Thousand","26.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2015","Thousand","26.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2016","Thousand","26.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","Mid-West","2017","Thousand","27.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","1996","Thousand","24.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","1997","Thousand","24.5"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","1998","Thousand","24.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","1999","Thousand","25.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2000","Thousand","25.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2001","Thousand","26.5"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2002","Thousand","27.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2003","Thousand","27.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2004","Thousand","28.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2005","Thousand","29.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2006","Thousand","30.7"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2007","Thousand","31.5"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2008","Thousand","32.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2009","Thousand","33.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2010","Thousand","34"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2011","Thousand","34.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2012","Thousand","34.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2013","Thousand","35"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2014","Thousand","35.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2015","Thousand","35.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2016","Thousand","35.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-East","2017","Thousand","36.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","1996","Thousand","34.3"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","1997","Thousand","34.4"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","1998","Thousand","35"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","1999","Thousand","35.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2000","Thousand","36"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2001","Thousand","36.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2002","Thousand","37.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2003","Thousand","38.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2004","Thousand","39.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2005","Thousand","40.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2006","Thousand","40.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2007","Thousand","41.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2008","Thousand","42.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2009","Thousand","44.1"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2010","Thousand","44.9"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2011","Thousand","45.5"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2012","Thousand","45.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2013","Thousand","46"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2014","Thousand","46.2"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2015","Thousand","46.8"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2016","Thousand","47.6"
"Estimated Population (Persons in April)","45 - 49 years","Both sexes","South-West","2017","Thousand","48.6"
"Estimated Population (Persons in April)","45 - 49 years","Male","State","1996","Thousand","113.8"
"Estimated Population (Persons in April)","45 - 49 years","Male","State","1997","Thousand","114.8"
"Estimated Population (Persons in April)","45 - 49 years","Male","State","1998","Thousand","116.7"
"Estimated Population (Persons in April)","45 - 49 years","Male","State","1999","Thousand","117.6"
"Estimated Population (Persons in April)","45 - 49 years","Male","State","2000","Thousand","119.8"
"Estimated Population (Persons in April)","45 - 49 years","Male","State","2001","Thousand","122.4"
"Estimated Population (Persons in April)","45 - 49 years","Male","State","2002","Thousand","125"
"Estimated Population (Persons in April)","45 - 49 years","Male","State","2003","Thousand","126.9"
"Estimated Population (Persons in April)","45 - 49 years","Male","State","2004","Thousand","129.7"
"Estimated Population (Persons in April)","45 - 49 years","Male","State","2005","Thousand","132.9"
